Area_Name,Year,Group_Name,Sub_Group_Name,Auto_Theft_Coordinated/Traced,Auto_Theft_Recovered,Auto_Theft_Stolen
Maharashtra,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,833,3008,10104
Bihar,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,260,1871
Delhi,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,32,774,4641
Maharashtra,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,888,2961,11189
Bihar,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,340,2445
Delhi,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,4,754,5936
Maharashtra,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,693,2803,13589
Bihar,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,118,338,3200
Delhi,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,438,1164,7843
Maharashtra,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1083,3731,14723
Bihar,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,5,324,3575
Delhi,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,58,1225,9085
Maharashtra,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,932,3791,15126
Bihar,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,7,43,175
Delhi,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,113,1151,4075
Maharashtra,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,466,595,1960
Bihar,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,6,57,122
Delhi,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,102,880,3632
Maharashtra,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,68,497,1931
Bihar,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,7,32,118
Delhi,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,184,625,3626
Maharashtra,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,170,446,1855
Bihar,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,32,185
Delhi,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,178,647,3850
Maharashtra,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,44,564,2136
Bihar,2005,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,21,83
Delhi,2005,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,85,784,3515
Maharashtra,2005,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,63,378,2129
Bihar,2006,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,21,49
Delhi,2006,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,88,620,4066
Maharashtra,2006,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,312,541,2252
Bihar,2007,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,22,61
Delhi,2007,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,49,536,3613
Maharashtra,2007,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,217,467,2219
Bihar,2008,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,31,134
Delhi,2008,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,1,486,4388
Maharashtra,2008,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,86,256,2459
Bihar,2009,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,14,41,262
Delhi,2009,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,289,580,4757
Maharashtra,2009,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,251,509,2523
Bihar,2010,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,NULL,45,360
Delhi,2010,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,24,594,5281
Maharashtra,2010,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,238,571,2612
Bihar,2001,AT3-Buses,3. Buses,0,0,0
Delhi,2001,AT3-Buses,3. Buses,NULL,14,37
Maharashtra,2001,AT3-Buses,3. Buses,3,7,11
Bihar,2002,AT3-Buses,3. Buses,0,0,0
Delhi,2002,AT3-Buses,3. Buses,4,10,27
Maharashtra,2002,AT3-Buses,3. Buses,1,6,13
Bihar,2003,AT3-Buses,3. Buses,0,0,0
Delhi,2003,AT3-Buses,3. Buses,1,5,18
Maharashtra,2003,AT3-Buses,3. Buses,1,5,15
Bihar,2004,AT3-Buses,3. Buses,0,0,0
Delhi,2004,AT3-Buses,3. Buses,2,3,10
Maharashtra,2004,AT3-Buses,3. Buses,0,9,21
Bihar,2005,AT3-Buses,3. Buses,0,0,0
Delhi,2005,AT3-Buses,3. Buses,NULL,4,7
Maharashtra,2005,AT3-Buses,3. Buses,3,10,13
Bihar,2006,AT3-Buses,3. Buses,0,0,2
Delhi,2006,AT3-Buses,3. Buses,NULL,1,5
Maharashtra,2006,AT3-Buses,3. Buses,7,20,46
Bihar,2007,AT3-Buses,3. Buses,0,0,0
Delhi,2007,AT3-Buses,3. Buses,NULL,2,10
Maharashtra,2007,AT3-Buses,3. Buses,1,7,28
Bihar,2008,AT3-Buses,3. Buses,0,0,2
Delhi,2008,AT3-Buses,3. Buses,NULL,1,8
Maharashtra,2008,AT3-Buses,3. Buses,2,3,22
Bihar,2009,AT3-Buses,3. Buses,0,0,1
Delhi,2009,AT3-Buses,3. Buses,1,NULL,13
Maharashtra,2009,AT3-Buses,3. Buses,2,6,10
Delhi,2010,AT3-Buses,3. Buses,NULL,1,6
Maharashtra,2010,AT3-Buses,3. Buses,3,6,11
Bihar,2001,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),0,0,7
Delhi,2001,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),3,33,122
Maharashtra,2001,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),47,123,263
Bihar,2002,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),0,8,9
Delhi,2002,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),19,94,227
Maharashtra,2002,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),18,107,184
Bihar,2003,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),0,4,7
Delhi,2003,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),14,25,113
Maharashtra,2003,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),29,126,220
Bihar,2004,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),0,7,16
Delhi,2004,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),31,152,264
Maharashtra,2004,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),30,141,250
Bihar,2005,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),0,3,6
Delhi,2005,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),10,52,251
Maharashtra,2005,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),26,85,266
Bihar,2006,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),0,4,4
Delhi,2006,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),7,10,164
Maharashtra,2006,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),38,108,267
Bihar,2007,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),0,4,5
Delhi,2007,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),2,13,153
Maharashtra,2007,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),49,124,376
Bihar,2008,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),0,1,2
Delhi,2008,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),NULL,13,181
Maharashtra,2008,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),42,138,586
